#Class	OvrStry	Rarc	Rmin	JAN-LAI	FEB-LAI	MAR-LAI	APR-LAI	MAY-LAI	JUN-LAI	JUL-LAI	AUG-LAI	SEP-LAI	OCT-LAI	NOV-LAI	DEC-LAI	JAN-ALB	FEB_ALB	MAR-ALB	APR-ALB	MAY-ALB	JUN-ALB	JUL-ALB	AUG-ALB	SEP-ALB	OCT-ALB	NOV-ALB	DEC-ALB	JAN-ROU	FEB-ROU	MAR-ROU	APR-ROU	MAY-ROU	JUN-ROU	JUL-ROU	AUG-ROU	SEP-ROU	OCT-ROU	NOV-ROU	DEC-ROU	JAN-DIS	FEB-DIS	MAR-DIS	APR-DIS	MAY-DIS	JUN-DIS	JUL-DIS	AUG-DIS	SEP-DIS	OCT-DIS	NOV-DIS	DEC-DIS	WIND_H	RGL	SolAtn	WndAtn	Trunk	COMMENT
1816	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Kale
1817	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Garlic
1819	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Lentils
1820	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Lettuce
1821	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Market_Crops
1822	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Onions
1824	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Pea_Dry
1825	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Pea_Green
1826	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Pepper
1827	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Potatoes
1828	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Pumpkin
1829	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Rhubarb
1830	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Spinach
1831	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Squash
1832	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Sugar_beets
1834	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Tomato
1835	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Parsley
1836	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Rutabaga
1839	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Radish
1840	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Peanut
1898	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	"Vegetable, Unknown"
1901	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Dill
1902	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Canola
1903	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Flax
1904	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Mustard
1905	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Camelina
1906	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Sunflower
1907	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Soybeans
2001	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Grape_Juice
2002	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Grape_Wine
2098	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Grape_Unknown
2101	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Pecans
2102	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Almonds
2103	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Pistachios
2104	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Prunes
2105	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Olives
2106	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Oranges
2107	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Pomegranates
2201	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Cotton
2202	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Rice
2203	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Millet
2204	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Speltz
2205	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Rape Seed
2206	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Sugarcane
2207	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Greens
2208	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Turnips
2209	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Gourds
3001	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	AEZ1_SW_SP_WW
3002	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	AEZ2_SF_WW_SW
3003	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	AEZ3_SF_WW
3005	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	AEZ3_SF_WW
4001	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	P_WW_C
4002	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	P-Sugarbeet-Corn_Grain
4003	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Corn_Alfalfa
4004	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Potato_single_crop
4005	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	WinWheat_single_crop
4006	0	25	60	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	SpgWheat_single_crop
4007	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Corn_single_crop
4008	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Corn_Sweet_single_crop
4009	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Pea_Green_single_crop
4010	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Bean_Dry_single_crop
